run_id,good_source_seed,bad_source_seed,bad_source_epsilon,bad_source_empirical_gamma_l1,bad_source_mean_local_l1_radius,bad_source_similarity_weight,bad_source_uniform_weight,method,final_iteration,final_target_performance,final_normalized_performance,final_policy_error_rate,oracle_performance
0,2026,3026,0.1,0.26357891463385674,0.09717918180264076,0.041465545823557624,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
0,2026,3026,0.1,0.26357891463385674,0.09717918180264076,0.041465545823557624,0.25,Uniform,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
0,2026,3027,0.2,0.5073888347937636,0.1922668566911269,0.021978527824911106,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
0,2026,3027,0.2,0.5073888347937636,0.1922668566911269,0.021978527824911106,0.25,Uniform,500,0.40708935552887443,0.9817890225680543,0.109375,0.4146403617999878
0,2026,3028,0.3,1.1054338016910434,0.31035724165125167,0.010209445227652424,0.25,Similarity-aware,500,0.4146187118521112,0.9999477862025234,0.0625,0.4146403617999878
0,2026,3028,0.3,1.1054338016910434,0.31035724165125167,0.010209445227652424,0.25,Uniform,500,0.4066512768338624,0.9807324956705995,0.125,0.4146403617999878
0,2026,3029,0.4,1.3333333333333335,0.40961334414142697,0.0084791972739796,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.046875,0.4146403617999878
0,2026,3029,0.4,1.3333333333333335,0.40961334414142697,0.0084791972739796,0.25,Uniform,500,0.40375666733485926,0.9737514832905279,0.078125,0.4146403617999878
1,2027,4026,0.1,0.2510841523749981,0.09990367599361999,0.04415305355787664,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.046875,0.4146403617999878
1,2027,4026,0.1,0.2510841523749981,0.09990367599361999,0.04415305355787664,0.25,Uniform,500,0.414640361799988,1.0000000000000004,0.03125,0.4146403617999878
1,2027,4027,0.2,0.581199173102626,0.2017878448943856,0.01956529320553317,0.25,Similarity-aware,500,0.4144956961647513,0.9996511057567852,0.078125,0.4146403617999878
1,2027,4027,0.2,0.581199173102626,0.2017878448943856,0.01956529320553317,0.25,Uniform,500,0.4100165554436605,0.9888486341844412,0.140625,0.4146403617999878
1,2027,4028,0.3,0.812304168241065,0.29696493583679906,0.014077226581067,0.25,Similarity-aware,500,0.4144956961647513,0.9996511057567852,0.0625,0.4146403617999878
1,2027,4028,0.3,0.812304168241065,0.29696493583679906,0.014077226581067,0.25,Uniform,500,0.3910103396846097,0.9430108009437426,0.125,0.4146403617999878
1,2027,4029,0.4,1.3333333333333335,0.453818821428645,0.008623685218172809,0.25,Similarity-aware,500,0.41449569616475146,0.9996511057567856,0.0625,0.4146403617999878
1,2027,4029,0.4,1.3333333333333335,0.453818821428645,0.008623685218172809,0.25,Uniform,500,0.38141905388602704,0.9198792231182118,0.09375,0.4146403617999878
2,2028,5026,0.1,0.25195985359339984,0.09477377088644123,0.04237384997488056,0.25,Similarity-aware,500,0.4144751059434044,0.9996014477320394,0.078125,0.4146403617999878
2,2028,5026,0.1,0.25195985359339984,0.09477377088644123,0.04237384997488056,0.25,Uniform,500,0.41447510594340425,0.999601447732039,0.078125,0.4146403617999878
2,2028,5027,0.2,0.5755221708856709,0.20946134168995917,0.019003759623118222,0.25,Similarity-aware,500,0.4146403617999881,1.0000000000000007,0.078125,0.4146403617999878
2,2028,5027,0.2,0.5755221708856709,0.20946134168995917,0.019003759623118222,0.25,Uniform,500,0.3856788265078672,0.9301526383818589,0.125,0.4146403617999878
2,2028,5028,0.3,0.9821120600577699,0.3218656918213306,0.011224607460955495,0.25,Similarity-aware,500,0.4146187118521112,0.9999477862025234,0.09375,0.4146403617999878
2,2028,5028,0.3,0.9821120600577699,0.3218656918213306,0.011224607460955495,0.25,Uniform,500,0.40709704379072115,0.981807564568677,0.125,0.4146403617999878
2,2028,5029,0.4,1.3333333333333335,0.38497470072060913,0.008292387406067624,0.25,Similarity-aware,500,0.4146403617999881,1.0000000000000007,0.078125,0.4146403617999878
2,2028,5029,0.4,1.3333333333333335,0.38497470072060913,0.008292387406067624,0.25,Uniform,500,0.40708935552887443,0.9817890225680543,0.109375,0.4146403617999878
3,2029,6026,0.1,0.2562959246489216,0.09377122555449674,0.04253992349225733,0.25,Similarity-aware,500,0.4144751059434044,0.9996014477320394,0.109375,0.4146403617999878
3,2029,6026,0.1,0.2562959246489216,0.09377122555449674,0.04253992349225733,0.25,Uniform,500,0.4144956961647513,0.9996511057567852,0.125,0.4146403617999878
3,2029,6027,0.2,0.5347265302022395,0.1934850304196263,0.02085141264548879,0.25,Similarity-aware,500,0.4146187118521112,0.9999477862025234,0.078125,0.4146403617999878
3,2029,6027,0.2,0.5347265302022395,0.1934850304196263,0.02085141264548879,0.25,Uniform,500,0.4071741237027678,0.9819934603934637,0.0625,0.4146403617999878
3,2029,6028,0.3,0.9734354725279707,0.33036488285629684,0.011562744186736465,0.25,Similarity-aware,500,0.4144751059434046,0.9996014477320398,0.078125,0.4146403617999878
3,2029,6028,0.3,0.9734354725279707,0.33036488285629684,0.011562744186736465,0.25,Uniform,500,0.3981340929017298,0.9601913599857888,0.1875,0.4146403617999878
3,2029,6029,0.4,1.3333333333333335,0.44123818245719704,0.008468120806571623,0.25,Similarity-aware,500,0.4144956961647513,0.9996511057567852,0.0625,0.4146403617999878
3,2029,6029,0.4,1.3333333333333335,0.44123818245719704,0.008468120806571623,0.25,Uniform,500,0.4144956961647513,0.9996511057567852,0.09375,0.4146403617999878
4,2030,7026,0.1,0.23825398002002468,0.09850677731056362,0.04661405119614399,0.25,Similarity-aware,500,0.4146403617999879,1.0000000000000002,0.078125,0.4146403617999878
4,2030,7026,0.1,0.23825398002002468,0.09850677731056362,0.04661405119614399,0.25,Uniform,500,0.414640361799988,1.0000000000000004,0.0625,0.4146403617999878
4,2030,7027,0.2,0.5306990783303175,0.1923971968824555,0.02147885625244896,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.0625,0.4146403617999878
4,2030,7027,0.2,0.5306990783303175,0.1923971968824555,0.02147885625244896,0.25,Uniform,500,0.4071656590266158,0.9819730458922915,0.09375,0.4146403617999878
4,2030,7028,0.3,0.9985957771465257,0.2926382794986485,0.011530895293847723,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
4,2030,7028,0.3,0.9985957771465257,0.2926382794986485,0.011530895293847723,0.25,Uniform,500,0.39102296628649424,0.9430412528800416,0.125,0.4146403617999878
4,2030,7029,0.4,1.3333333333333335,0.4277766440942452,0.00866110240904435,0.25,Similarity-aware,500,0.414640361799988,1.0000000000000004,0.0625,0.4146403617999878
4,2030,7029,0.4,1.3333333333333335,0.4277766440942452,0.00866110240904435,0.25,Uniform,500,0.3946707454318737,0.9518387060019329,0.09375,0.4146403617999878
5,2031,8026,0.1,0.2482787893486894,0.0991352844924855,0.04280718641819898,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
5,2031,8026,0.1,0.2482787893486894,0.0991352844924855,0.04280718641819898,0.25,Uniform,500,0.4144956961647513,0.9996511057567852,0.078125,0.4146403617999878
5,2031,8027,0.2,0.5693738935342895,0.19898632433387162,0.01912813323162963,0.25,Similarity-aware,500,0.4146403617999878,1.0,0.078125,0.4146403617999878
